
layer	intrinsic_dim
0	0.0000
1	25.2468
2	22.6739
3	29.8431
4	30.8350
5	28.9472
6	28.7331
7	32.4266
8	35.9614
9	40.9061
10	37.1776
11	43.3898
12	47.9565
13	37.6436
14	39.1496
15	44.7705
16	41.7513
17	42.1361
18	42.3078
19	41.8787
20	36.3774
21	37.1533
22	37.9411
23	33.0200
24	30.1802
25	25.2592
26	22.3758
27	20.7972
28	19.9886
29	18.3191
30	16.5805
31	14.3605
32	14.2920
33	13.7784
34	13.5625
35	13.1823
36	10.6123
