layer	intrinsic_dim
0	0.0000
1	16.4964
2	24.6621
3	23.6212
4	27.2526
5	24.6597
6	20.1637
7	18.3471
8	20.6999
9	19.8967
10	19.4456
11	22.7007
12	24.5449
13	22.4205
14	19.4938
15	19.3168
16	18.4214
17	20.4977
18	21.6701
19	22.4260
20	22.4708
21	22.5729
22	21.5873
23	21.6068
24	20.4164
25	16.3319
26	17.7803
27	16.5168
28	14.5418
29	16.1854
30	11.1639
31	11.4279
32	11.7713
33	12.3011
34	14.0577
35	13.3702
36	12.2251
