layer	intrinsic_dim
0	0.0000
1	19.7492
2	21.6713
3	17.2211
4	19.3733
5	20.3403
6	21.6197
7	17.7198
8	16.5033
9	18.9484
10	21.3283
11	23.4754
12	20.6570
13	19.7695
14	19.9877
15	19.4200
16	19.3743
17	19.4561
18	20.4474
19	21.0534
20	19.5344
21	18.3843
22	17.7192
23	18.0338
24	19.5669
25	18.9337
26	19.0772
27	20.0905
28	21.1007
29	20.3808
30	18.8519
31	19.6033
32	19.5417
33	18.2269
34	18.7465
35	17.5597
36	17.0141
